Header	Japanese	Google Translate	Translated	Notes
0	♥+1⏎⏎きぬ、もめん、麻(あさ)などの⏎そざいで できたものがある。	♥+1⏎⏎There are things made of ⏎materials such as silk cotton and linen.	"♥+1⏎
⏎
Simple clothing made⏎
from cotton linen"	
0	♥+3⏎⏎皮をなめして つくられているよろい。⏎かるくてじょうぶなのだ。	♥+3⏎⏎Armor made from tanned leather. ⏎It's lightweight and durable.	♥+3⏎⏎皮をなめして つくられているよろい。⏎かるくてじょうぶなのだ。	
0	♥+4#0f00はちゅうるいに大ダメージ⏎⏎はちゅうるいからうろこをはがし⏎じょうぶな糸でぬいあわせたよろい。	♥+4#0f00 causes great damage to Chuurui⏎⏎Removes scales from Chuurui⏎Armor sewn together with durable thread.	♥+4#0f00はちゅうるいに大ダメージ⏎⏎はちゅうるいからうろこをはがし⏎じょうぶな糸でぬいあわせたよろい。	
0	♥+5⏎⏎クサリをつないで つくったよろい。⏎服のように着られて うごきやすい。	♥+5⏎⏎Armor made by connecting chains. ⏎It's like clothes and he moves around easily.	♥+5⏎⏎クサリをつないで つくったよろい。⏎服のように着られて うごきやすい。	
0	♥+6#0f00こうげき力アップ、足がおそくなる⏎⏎鉄で出来ている 憲兵がきているよろい。⏎おもいがひじょうに⏎ぼうぎょ力がたかいのだ。	"♥+6#0f00 Increases fighting power, slows down ⏎⏎Armor made of iron, used by military police. ⏎My mind is very strong.⏎I have a lot of strength."	♥+6#0f00こうげき力アップ、足がおそくなる⏎⏎鉄で出来ている 憲兵がきているよろい。⏎おもいがひじょうに⏎ぼうぎょ力がたかいのだ。	
0	♥+7⏎⏎鉄をたたいて つくったよろい。⏎とてもがんじょうにできている。	♥+7⏎⏎Armor made by hammering iron. ⏎It's very sturdy.	♥+7⏎⏎鉄をたたいて つくったよろい。⏎とてもがんじょうにできている。	
0	♥+4#0f00たまにこうげきをかわす⏎⏎むらさき色のきれいなマント。⏎あるときジャスミンが着てあらわれた。⏎どこかでぬすんできたのだろうか?	"♥+4#0f00Dodges attacks sometimes⏎⏎A beautiful purple cloak. ⏎One day, Jasmine appeared wearing it. ⏎Did he steal it somewhere?"	♥+4#0f00たまにこうげきをかわす⏎⏎むらさき色のきれいなマント。⏎あるときジャスミンが着てあらわれた。⏎どこかでぬすんできたのだろうか?	
0	♥+8#0f00足がおそくなる⏎てきからお金が出やすい⏎⏎金でできているよろい。⏎まぶしいほどにかがやいている。	♥+8#0f00It makes you slow ⏎It's easy to earn money ⏎⏎Armor made of gold. ⏎It's so bright that it's dazzling.	♥+8#0f00足がおそくなる⏎てきからお金が出やすい⏎⏎金でできているよろい。⏎まぶしいほどにかがやいている。	
0	♥+5#0f00てきがアイテムをおとしやすくなる⏎⏎かぼちゃのぱんつはいいぱんつ。⏎ジャスミンのおきにいり。	♥+5#0f00It will be easier for you to drop items⏎⏎Pumpkin pants are good pants. ⏎Come to Jasmine.	♥+5#0f00てきがアイテムをおとしやすくなる⏎⏎かぼちゃのぱんつはいいぱんつ。⏎ジャスミンのおきにいり。	
0	♥+6#0f00クリティカルがでる⏎⏎とうぞくが着ていたよろい。⏎きたなくて くさいが⏎とてもうごきやすい。	"♥+6#0f00 Critical hit ⏎⏎The armor worn by Tozoku. ⏎Unpleasant and smelly, but ⏎very easy to move."	♥+6#0f00クリティカルがでる⏎⏎とうぞくが着ていたよろい。⏎きたなくて くさいが⏎とてもうごきやすい。	
0	♥+9#0f00足がおそくなる⏎たまにてきをきぜつさせる⏎⏎なんまいもの鉄をあわせてつくった。⏎力強くみえて とてもかっこいい。	♥+9#0f00It makes my feet slow ⏎Sometimes it makes me tremble ⏎⏎I made it with a lot of iron. ⏎She looks strong and very cool.	♥+9#0f00足がおそくなる⏎たまにてきをきぜつさせる⏎⏎なんまいもの鉄をあわせてつくった。⏎力強くみえて とてもかっこいい。	
0	♥+12#0f00たまにてきをきぜつさせる⏎⏎デル城のえい兵がきているよろい。⏎はがねで できていて⏎ひじょうにおもく、かたいよろいだ。	"♥+12#0f00Sometimes it makes the enemy squeak ⏎⏎The armor of Castle Del's soldiers is coming. ⏎It's made of steel, and ⏎it's very heavy and has a hard armor."	♥+12#0f00たまにてきをきぜつさせる⏎⏎デル城のえい兵がきているよろい。⏎はがねで できていて⏎ひじょうにおもく、かたいよろいだ。	
0	♥+10#0f00こうげき力があがる⏎⏎デルの王家につたわると言われている。⏎ひじょうにかるく、こがらな子どもでも⏎きる事ができるのだ。	♥+10#0f00 Increases fighting power⏎⏎It is said to be connected to the royal family of Del. ⏎Even a very light and shy child can do it.	♥+10#0f00こうげき力があがる⏎⏎デルの王家につたわると言われている。⏎ひじょうにかるく、こがらな子どもでも⏎きる事ができるのだ。	
0	♥+9#0f00たまにこうげきをかわす⏎たまをむこうかするときがある⏎⏎プリンセスつまり、王女。⏎そんなこうきなアナタに着てもらいたい。⏎ゆったりとしていて それでいてぴったり。	"♥+9#0f00Sometimes I dodge the attacks⏎Sometimes I try to avoid them⏎⏎Princess In other words, a princess. ⏎I want someone like you to wear this. ⏎Relaxed yet perfect."	♥+9#0f00たまにこうげきをかわす⏎たまをむこうかするときがある⏎⏎プリンセスつまり、王女。⏎そんなこうきなアナタに着てもらいたい。⏎ゆったりとしていて それでいてぴったり。	
0	♥+8#0f00バイオリズムが上がりやすい⏎⏎雨にも風にもまけないけれど⏎中がむしあつくてこまる。⏎ムシムシイライラ。	"♥+8#0f00 Biorhythm is easy to increase⏎⏎It's not protected from rain or wind, but⏎It gets hot and stuffy inside. ⏎I feel irritated."	♥+8#0f00バイオリズムが上がりやすい⏎⏎雨にも風にもまけないけれど⏎中がむしあつくてこまる。⏎ムシムシイライラ。	
0	♥+8#0f00かいふくアイテムのこうかがあがる⏎⏎モキートさんとおそろいのガウン。⏎マジックハウス ちょうせんのきねんに⏎プレゼントされた(かってにもらった)。⏎まあ、これくらいはとうぜんだよね!	"♥+8#0f00Kokaifuku items are coming up⏎⏎A matching gown with Moquito. ⏎Magic House It was given to me as a gift (once I received it). ⏎Well, that's pretty impressive!"	♥+8#0f00かいふくアイテムのこうかがあがる⏎⏎モキートさんとおそろいのガウン。⏎マジックハウス ちょうせんのきねんに⏎プレゼントされた(かってにもらった)。⏎まあ、これくらいはとうぜんだよね!	
0	♥+1⏎⏎足をつつみこむように⏎あついわたがたっぷりと入ったくつ下。⏎もうくつずれになやまされる事はないな。	♥+1⏎⏎Socks with plenty of warm cotton to wrap around your feet. ⏎I won't have to worry about my shoes anymore.	"♥+1⏎
⏎
Thick、cottony socks⏎
to protect your feet"	
0	たまにてきをきぜつさせる⏎⏎ジャスミンが ジョーカーから⏎もらったぼうし。⏎手あみのようだが⏎ジョーカーがあんだのだろうか?	"A hat that Jasmine received from the Joker. ⏎It looks like it's handmade, but ⏎I wonder if the Joker is like that?"	たまにてきをきぜつさせる⏎⏎ジャスミンが ジョーカーから⏎もらったぼうし。⏎手あみのようだが⏎ジョーカーがあんだのだろうか?	
0	矢のこうげきをむこうかするときがある⏎⏎ブーロンの皮で出来ている小屋のやねを⏎ひっぺがして つくったたて。⏎矢をはねかえす力があるという。	Sometimes it has to be hit by an arrow ⏎⏎It's freshly made by peeling off a hut made from boron skin. ⏎It is said to have the power to repel arrows.	矢のこうげきをむこうかするときがある⏎⏎ブーロンの皮で出来ている小屋のやねを⏎ひっぺがして つくったたて。⏎矢をはねかえす力があるという。	
0	こうげきの早さがあがる⏎⏎まぼろしなのに実体がある⏎ふしぎな首かざり。	Increases the speed of attack ⏎⏎It's imaginary but has substance ⏎Mysterious neck ornament.	こうげきの早さがあがる⏎⏎まぼろしなのに実体がある⏎ふしぎな首かざり。	
0	こうげき力が上がる⏎⏎金色にかがやいているうでわ。⏎おもさからするとメッキのようだが。	"Increases fighting power ⏎⏎ Arms that shine golden. ⏎From the looks of it, it looks like it's plated."	こうげき力が上がる⏎⏎金色にかがやいているうでわ。⏎おもさからするとメッキのようだが。	
0	虫に強くなる⏎⏎そうびしていると、虫にたいして⏎大きな力をはっきできるだろう。	"If you practice ⏎⏎ becoming stronger against insects, you will be able to manifest ⏎ great power against insects."	虫に強くなる⏎⏎そうびしていると、虫にたいして⏎大きな力をはっきできるだろう。	
0	たまにこうげきをかわす⏎⏎トル川にすむカメのこうらで⏎つくられているたて。⏎こうらのぬめりで⏎こうげきをはじく力がある。	"It is made from the shells of turtles that live in the Toru River, which occasionally dodges blows. ⏎The slime of the shell ⏎has the power to repel insects."	たまにこうげきをかわす⏎⏎トル川にすむカメのこうらで⏎つくられているたて。⏎こうらのぬめりで⏎こうげきをはじく力がある。	
