Header	Japanese	Google Translate	Translated	Notes	
501	むかし デルトラの地には⏎七つの部族が くらしていた	"Once upon a time, ⏎seven tribes lived in the land of Deltora."	"In ancient days、⏎
Deltora was divided⏎
into 7 tribes"	"Grabby hand animation, then book text display."	
501	あるとき 山のかなたから⏎影(かげ)の大王が あらわれた	"One day, a shadow king appeared from beyond the mountain."	"The tribes fought on⏎
their borders but⏎
otherwise stayed in⏎
their own place"	"I’m intentionally changing this section to more directly quote the book, since it’s an important text. The flow still matches up well with the Japanese text."	
501	大王は ゆたかな デルトラの地を⏎しはいしようと 考えていた	The Great King was thinking of exploring the rich land of Deltora.	"Each had a gem from⏎
deep within the Earth⏎
A talisman with⏎
special powers"		
501	七つの部族は それぞれ ゆうかんに⏎戦った	Each of the seven tribes fought against each other.	"There came a time⏎
when the Enemy from⏎
the Shadowlands cast⏎
eyes on Deltora"		
501	しかし 影の大王は⏎あまりにも 強かった	"However, the Great King of Shadows was too strong."	"The tribes were⏎
divided and singly⏎
none of them could⏎
repel the invader"		
501	そのとき……	At that time...	"The Enemy began to⏎
triumph、but then…"	"Slightly different from the book here, but it fits the flow of the game’s text better."	
1	ひとりの ゆうしゃが あらわれた⏎その人こそ かじ屋のアディンである	"A man appears ⏎That person is Adin, the blacksmith."	"A hero called Adin⏎
rose from the ranks⏎
of the people。He was⏎
an ordinary man、a⏎
humble blacksmith"	"Camera switches to show Jarred climb down the ladder and walk down the screen while this text is shown.
Jumps to row 18 after."	
501	やがて アディンは王となった	Eventually Adin became king.	"And so Adin became the⏎
first king of the⏎
united tribes of⏎
Deltora、and he ruled⏎
the land long and⏎
wisely"		
501	影の大王に そなえて ベルトを⏎いつでも こしに まいていた	"In preparation for the Great Shadow King, I always wore a belt around my waist."	"He knew that the Enemy⏎
is clever and sly、and⏎
that to its anger and⏎
envy a thousand years⏎
is like the blink of⏎
an eye"	"This line is important, since it’s also the last line of the last book in the entire Deltora series. "	
501	しつこい影の大王が また いつ⏎おそってくるか わからなかったからだ	Because I didn't know when the nagging shadow king would attack again.	"So he wore the belt⏎
always、and never let⏎
it out of his sight…"	"Not used, annoyingly"	
501	アディンは それを 王のつとめとし⏎王家のおきてとした	Adin made it the duty of the king and the law of the royal family.	"So he wore the belt⏎
always、and never let⏎
it out of his sight…"	"The text in the book doesn’t actually give the reasoning about the Shadow Lord returning, nor does it mention wearing the belt being made into law. I’m going with the book."	
501	アディンのひまご エルステッド王は⏎年をとって とても太ってしまった	Adin's Corn King Ørsted grew old and became very fat.	"The first to leave the⏎
belt aside was Adin’s⏎
grandson、King Elstred、⏎
who grew fat and found⏎
the steel cut sadly⏎
into his belly"		
501	そのために ベルトをするのが⏎辛くなってしまった	"Because of this, it became difficult to wear a belt."	"His chief advisor⏎
soothed his fears、⏎
saying that the belt⏎
need only be worn on⏎
great occasions"		
501	大臣たちは ぎしきのときだけ⏎ベルトをするように すすめた	Ministers recommended wearing belts only in times of crisis.	"Elstred’s daughter⏎
wore the belt only 5⏎
times in her reign。⏎
Her son wore it only⏎
3 times"	"Not bothering to include their names from the book here for brevity. Sorry, Queen Adina and King Brandon."	
501	それいらい 王が ベルトを⏎こしにまく かいすうは へった	"Since then, the amount of belts worn by kings around their waists has decreased."	"At last it became the⏎
custom for the belt to⏎
be worn only on the day⏎
the heir took the⏎
throne…"	Jumps to row 31 after.	
501	やがて 王が こしに ベルトをまくのは⏎王になる ぎしきの日だけになった	"Before long, the only time the king wore his belt was on the day he became king."	"Soon、the belt was⏎
only worn when the⏎
king was crowned"	Unused	
41810118	アディンって……デルトラの⏎さいしょの王様だよな⏸って事は、これはデルトラの⏎れきしの本?	"Adin is... Deltora's ⏎first king⏸, so is this Deltora's ⏎Rekishi book?"	"Adin was Deltora’s⏎
first king…⏸
This book must be the⏎
history of Deltora"		
28010001	アディンは ふしぎな ゆめを見た	Adin saw a mysterious dream	"One night、Adin dreamed⏎
of a special and⏎
splendid belt"		
28010001	七つの部族が もっている⏎七つの宝石を あつめよ	Collect the seven jewels owned by the seven tribes.	"7 steel medallions⏎
beaten to the thinness⏎
of silk and connected⏎
together with fine⏎
chain"		
28010001	その宝石を鉄でつくったベルトに⏎つけよ と ゆめは つげた	Yume asked him to wear the jewel on a belt made of iron.	"To each medallion was⏎
fixed one of the⏎
tribal gems"		
28010001	アディンは それが デルトラを⏎すくう方法だと信じた	Adin believed that was the way to ⏎scoop Deltora.	"Adin worked in secret⏎
over many months to⏎
create a likeness of⏎
the belt he had seen"		
28010001	アディンは 七部族を せっとくして⏎宝石をあつめた	Adin persuaded the seven tribes and collected the jewels.	"Then he traveled the⏎
kingdom to pursuade⏎
each tribe to allow⏎
its talisman to be⏎
added to it"		
28010001	七つの宝石を 自分でつくった⏎ベルトにつけて こしにまいた	I made the seven jewels ⏎I put them on my belt and tied them around my waist.	"As each gem became part⏎
of the belt、its tribe⏎
grew stronger。But the⏎
people kept their⏎
strength secret、and⏎
bided their time"		
28010001	すると ベルトはたいようのように⏎光り かがやいた	Then the belt shone like the sun.	"When at last the belt⏎
was complete、Adin⏎
fastened it around his⏎
waist、and it flashed⏎
like the sun"		
28010001	デルトラの七部族は その光の⏎もとで だんけつして たたかった	The seven tribes of Deltora fought under that light.	"Then all the tribes⏎
united behind him to⏎
form a great army、"		
