Header	Japanese	Google Translate	Translated
00000000	つうしん中です…	I'm in the middle of training...	
00000000	つうしんエラーです	This is a transmission error.	
00000000	お友だちが来るのをまっています…	I'm waiting for my friends to come...	
00000000	こうかん部屋をひらいてます	I'm opening a room.	
00000000	こうかん部屋に入っています…	I'm in the room...	
00000000	ワイヤレスつうしんをはじめます	Start wireless communication	
00000000	こうかん部屋をひらく	Open the room	
00000000	こうかん部屋にさんかする	go to the classroom room	
00000000	こうかん部屋をさがしています…	I'm looking for a room...	
00000000	はじまるのをまっています…	I'm waiting for it to start...	
00000000	こうかんをはじめます	Let's start the lesson	
00000000	へやがまんいんではいれませんでした	I couldn't get into the room without holding back.	
00000000	こうかん部屋はすでにおわっています	The exchange room has already been completed	
00000000	こうかん部屋がなくなりました	There's no more room left	
00000000	こうかんあいてがつうしんをきりました	The exchange partner has disconnected.	
00000000	こうかんあいてが見つかりません	No replacement partner found	
00000000	つうしんにしっぱいしました	Communication failed	
